id,full_path,gender,age
0,train/00000.jpg,1,66
1,train/00001.jpg,1,53
2,train/00002.jpg,1,20
3,train/00003.jpg,1,32
4,train/00004.jpg,1,21
5,train/00005.jpg,0,42
6,train/00006.jpg,1,21
7,train/00007.jpg,1,58
8,train/00008.jpg,0,12
9,train/00009.jpg,1,30
10,train/00010.jpg,1,23
11,train/00011.jpg,1,26
12,train/00012.jpg,0,37
13,train/00013.jpg,1,19
14,train/00014.jpg,1,28
15,train/00015.jpg,1,23
16,train/00016.jpg,1,22
17,train/00017.jpg,0,64
18,train/00018.jpg,1,28
19,train/00019.jpg,1,30
20,train/00020.jpg,0,12
21,train/00021.jpg,1,31
22,train/00022.jpg,1,24
23,train/00023.jpg,1,28
24,train/00024.jpg,0,29
25,train/00025.jpg,1,48
26,train/00026.jpg,1,26
27,train/00027.jpg,1,62
28,train/00028.jpg,1,24
29,train/00029.jpg,1,58
30,train/00030.jpg,1,23
31,train/00031.jpg,1,33
32,train/00032.jpg,1,24
33,train/00033.jpg,0,19
34,train/00034.jpg,1,24
35,train/00035.jpg,0,28
36,train/00036.jpg,1,28
37,train/00037.jpg,1,27
38,train/00038.jpg,1,31
39,train/00039.jpg,1,38
40,train/00040.jpg,1,20
41,train/00041.jpg,1,18
42,train/00042.jpg,1,75
43,train/00043.jpg,1,21
44,train/00044.jpg,1,53
45,train/00045.jpg,0,33
46,train/00046.jpg,0,13
47,train/00047.jpg,0,24
48,train/00048.jpg,0,70
49,train/00049.jpg,1,31
50,train/00050.jpg,1,61
51,train/00051.jpg,1,60
52,train/00052.jpg,0,30
53,train/00053.jpg,1,24
54,train/00054.jpg,0,64
55,train/00055.jpg,1,25
56,train/00056.jpg,1,34
57,train/00057.jpg,1,33
58,train/00058.jpg,0,48
59,train/00059.jpg,1,26
60,train/00060.jpg,1,41
61,train/00061.jpg,1,86
62,train/00062.jpg,1,41
63,train/00063.jpg,1,60
64,train/00064.jpg,1,22
65,train/00065.jpg,1,51
66,train/00066.jpg,1,22
67,train/00067.jpg,1,30
68,train/00068.jpg,1,45
69,train/00069.jpg,0,27
70,train/00070.jpg,0,28
71,train/00071.jpg,1,33
72,train/00072.jpg,1,27
73,train/00073.jpg,1,34
74,train/00074.jpg,1,29
75,train/00075.jpg,1,25
76,train/00076.jpg,0,45
77,train/00077.jpg,1,25
78,train/00078.jpg,1,16
79,train/00079.jpg,0,39
80,train/00080.jpg,0,22
81,train/00081.jpg,1,37
82,train/00082.jpg,1,73
83,train/00083.jpg,1,64
84,train/00084.jpg,0,28
85,train/00085.jpg,1,37
86,train/00086.jpg,1,54
87,train/00087.jpg,1,41
88,train/00088.jpg,1,55
89,train/00089.jpg,1,41
90,train/00090.jpg,1,20
91,train/00091.jpg,0,41
92,train/00092.jpg,1,46
93,train/00093.jpg,1,45
94,train/00094.jpg,1,24
95,train/00095.jpg,1,33
96,train/00096.jpg,0,22
97,train/00097.jpg,0,35
98,train/00098.jpg,0,32
99,train/00099.jpg,1,68
100,train/00100.jpg,1,56
101,train/00101.jpg,0,50
102,train/00102.jpg,1,75
103,train/00103.jpg,0,22
104,train/00104.jpg,1,89
105,train/00105.jpg,1,67
106,train/00106.jpg,1,70
107,train/00107.jpg,1,38
108,train/00108.jpg,1,29
109,train/00109.jpg,1,38
110,train/00110.jpg,1,29
111,train/00111.jpg,1,50
112,train/00112.jpg,0,32
113,train/00113.jpg,0,30
114,train/00114.jpg,1,73
115,train/00115.jpg,1,30
116,train/00116.jpg,1,24
117,train/00117.jpg,1,41
118,train/00118.jpg,0,54
119,train/00119.jpg,1,30
120,train/00120.jpg,1,53
121,train/00121.jpg,1,66
122,train/00122.jpg,1,60
123,train/00123.jpg,0,63
124,train/00124.jpg,1,69
125,train/00125.jpg,0,26
126,train/00126.jpg,1,28
127,train/00127.jpg,1,44
128,train/00128.jpg,0,32
129,train/00129.jpg,0,18
130,train/00130.jpg,0,17
131,train/00131.jpg,1,65
132,train/00132.jpg,1,25
133,train/00133.jpg,1,46
134,train/00134.jpg,1,30
135,train/00135.jpg,1,20
136,train/00136.jpg,0,24
137,train/00137.jpg,1,27
138,train/00138.jpg,1,31
139,train/00139.jpg,1,36
140,train/00140.jpg,1,17
141,train/00141.jpg,1,29
142,train/00142.jpg,1,43
143,train/00143.jpg,1,46
144,train/00144.jpg,1,52
145,train/00145.jpg,0,18
146,train/00146.jpg,0,19
147,train/00147.jpg,1,44
148,train/00148.jpg,1,30
149,train/00149.jpg,1,29
150,train/00150.jpg,0,54
151,train/00151.jpg,1,40
152,train/00152.jpg,1,66
153,train/00153.jpg,1,32
154,train/00154.jpg,1,86
155,train/00155.jpg,0,29
156,train/00156.jpg,1,34
157,train/00157.jpg,1,35
158,train/00158.jpg,1,21
159,train/00159.jpg,1,18
160,train/00160.jpg,0,25
161,train/00161.jpg,0,26
162,train/00162.jpg,1,23
163,train/00163.jpg,1,48
164,train/00164.jpg,1,34
165,train/00165.jpg,1,63
166,train/00166.jpg,1,43
167,train/00167.jpg,0,60
168,train/00168.jpg,1,41
169,train/00169.jpg,0,18
170,train/00170.jpg,1,27
171,train/00171.jpg,1,56
172,train/00172.jpg,1,28
173,train/00173.jpg,1,40
174,train/00174.jpg,1,30
175,train/00175.jpg,0,16
176,train/00176.jpg,0,32
177,train/00177.jpg,1,63
178,train/00178.jpg,0,75
179,train/00179.jpg,1,18
180,train/00180.jpg,1,26
181,train/00181.jpg,0,31
182,train/00182.jpg,1,77
183,train/00183.jpg,1,55
184,train/00184.jpg,1,41
185,train/00185.jpg,0,25
186,train/00186.jpg,0,30
187,train/00187.jpg,1,49
188,train/00188.jpg,0,26
189,train/00189.jpg,0,24
190,train/00190.jpg,1,43
191,train/00191.jpg,0,31
192,train/00192.jpg,1,18
193,train/00193.jpg,1,46
194,train/00194.jpg,1,31
195,train/00195.jpg,1,61
196,train/00196.jpg,1,58
197,train/00197.jpg,1,18
198,train/00198.jpg,1,27
199,train/00199.jpg,1,53
200,train/00200.jpg,1,31
201,train/00201.jpg,1,30
202,train/00202.jpg,1,27
203,train/00203.jpg,1,29
204,train/00204.jpg,1,33
205,train/00205.jpg,0,25
206,train/00206.jpg,1,59
207,train/00207.jpg,1,21
208,train/00208.jpg,1,37
209,train/00209.jpg,1,25
210,train/00210.jpg,1,19
211,train/00211.jpg,1,63
212,train/00212.jpg,1,43
213,train/00213.jpg,0,30
214,train/00214.jpg,1,27
215,train/00215.jpg,1,21
216,train/00216.jpg,1,13
217,train/00217.jpg,1,17
218,train/00218.jpg,1,27
219,train/00219.jpg,1,23
220,train/00220.jpg,0,18
221,train/00221.jpg,1,41
222,train/00222.jpg,1,38
223,train/00223.jpg,1,47
224,train/00224.jpg,0,38
225,train/00225.jpg,1,54
226,train/00226.jpg,1,56
227,train/00227.jpg,1,60
228,train/00228.jpg,0,22
229,train/00229.jpg,1,32
230,train/00230.jpg,1,29
231,train/00231.jpg,1,29
232,train/00232.jpg,0,23
233,train/00233.jpg,1,32
234,train/00234.jpg,1,51
235,train/00235.jpg,1,33
236,train/00236.jpg,1,53
237,train/00237.jpg,1,59
238,train/00238.jpg,1,20
239,train/00239.jpg,1,18
240,train/00240.jpg,1,32
241,train/00241.jpg,0,22
242,train/00242.jpg,1,60
243,train/00243.jpg,1,25
244,train/00244.jpg,1,17
245,train/00245.jpg,0,17
246,train/00246.jpg,1,34
247,train/00247.jpg,0,35
248,train/00248.jpg,1,55
249,train/00249.jpg,0,51
250,train/00250.jpg,1,51
251,train/00251.jpg,1,52
252,train/00252.jpg,1,37
253,train/00253.jpg,0,27
254,train/00254.jpg,1,29
255,train/00255.jpg,1,24
256,train/00256.jpg,1,31
257,train/00257.jpg,1,42
258,train/00258.jpg,1,87
259,train/00259.jpg,0,19
260,train/00260.jpg,1,46
261,train/00261.jpg,0,34
262,train/00262.jpg,1,57
263,train/00263.jpg,1,21
264,train/00264.jpg,1,53
265,train/00265.jpg,1,48
266,train/00266.jpg,1,55
267,train/00267.jpg,1,56
268,train/00268.jpg,1,36
269,train/00269.jpg,1,14
270,train/00270.jpg,1,23
271,train/00271.jpg,1,22
272,train/00272.jpg,1,19
273,train/00273.jpg,1,18
274,train/00274.jpg,1,22
275,train/00275.jpg,0,31
276,train/00276.jpg,1,50
